,feature,importance_lgbm,importance_xgb,importance_ensemble
0,target_lag_24,1.0,1.0,1.0
1,target_lag_336,0.4633343310386112,0.012904743,0.23811953688562765
2,target_lag_72,0.3840167614486681,0.0057809725,0.19489886699452333
3,target_lag_24_1,0.28434600419036216,0.00169831,0.1430221571058366
4,target_lag_72_23,0.2574079616881173,0.004404811,0.13090638643834795
5,temp_pred,0.24842861418736906,0.001559782,0.12499419807285905
6,temp_9,0.23436096976953008,0.0067381556,0.12054956269205738
7,target_9,0.2241843759353487,0.003956698,0.11407053690828524
8,temp_last_day_23,0.22268781801855733,0.00053282874,0.11161032337780381
9,last_evening_avg_target_22,0.21939539060161628,0.0031287307,0.11126206064679284
10,P_23,0.20772223885064353,0.00048164578,0.1041019423155131
11,temp_last_day_1,0.19874289134989523,0.0002810022,0.09951194677388776
12,temp_last_day_2,0.1978449565998204,0.0006358402,0.09924039838658273
13,last_evening_avg_temp_19,0.1954504639329542,0.002323281,0.09888687247644014
14,last_evening_avg_temp_22,0.19155941334929663,0.0015076223,0.09653351782776588
15,target_lag_336_23,0.1903621670158635,0.00067061355,0.0955163902811268
16,rain_probability,0.1768931457647411,0.0010489373,0.08897104154412215
17,last_evening_avg_target_19,0.1753965878479497,0.0030983011,0.0892474444858887
18,target_lag_24_2,0.17479796468123315,0.0026019257,0.08869994521528243
19,U_3,0.17449865309787488,0.0002428172,0.08737073514947222
20,temp_pred_1,0.16911104459742593,0.0033960154,0.08625352998943323
21,temp_pred_2,0.16581861718048488,0.0029917,0.08440515862988847
22,U_22,0.16402274768033523,0.00023942773,0.08213108770282702
23,target_lag_336_1,0.16402274768033523,0.0013742346,0.08269849112107182
24,U_23,0.16372343609697695,0.0004069064,0.08206517124202357
25,U,0.16162825501346903,0.00063827424,0.08113326462828525
26,target_lag_336_21,0.16132894343011075,0.0004111873,0.08087006536435333
27,temp_pred_3,0.15983238551331935,0.0031767136,0.08150454955424308
28,temp_last_day_3,0.15893445076324453,0.0005328889,0.0797336698435081
29,temp_last_day,0.15863513917988625,0.00023909796,0.07943711857212704
30,temp_5,0.1580365160131697,0.0004131748,0.07922484540617375
31,target_lag_336_7,0.1580365160131697,0.001556592,0.07979655397943503
32,rain_probability_5,0.15624064651302005,0.0011701578,0.07870540215858696
33,target_lag_24_23,0.15384615384615385,0.0019344548,0.07789030431125027
34,target_lag_72_1,0.15085303801257108,0.0014782266,0.07616563231756883
35,temp_last_day_14,0.15025441484585453,0.00040150157,0.07532795820938913
36,P,0.14965579167913798,0.00058679195,0.0751212918163378
37,target_lag_336_22,0.14905716851242143,0.0003615096,0.07470933905223047
38,target_lag_72_22,0.14845854534570488,0.0011736606,0.0748161029852386
39,U_12,0.14636336426219695,0.0001631699,0.07326326708002844
40,temp_last_day_9,0.14606405267883868,0.00024929427,0.07315667347596415
41,U_1,0.14546542951212213,0.0006342626,0.07304984604161673
42,last_day_avg_temp,0.14516611792876385,0.00088725745,0.07302668769160751
43,target_lag_336_8,0.144268183178689,0.00065797346,0.07246307832023671
44,Td_1,0.14247231367853935,0.00026012113,0.07136621740469476
45,U_10,0.14157437892846453,0.00017122965,0.07087280428959833
46,target_lag_24_11,0.13917988626159833,0.00074914197,0.06996451411449403
47,U_4,0.13738401676144868,0.00025575326,0.06881988500926386
48,target_lag_24_15,0.13588745884465728,0.00109843,0.06849294443083333
49,target_lag_336_15,0.13498952409458245,0.00059929496,0.06779440952684214
50,temp_last_day_4,0.13498952409458245,0.0004587553,0.06772413969608439
51,target_lag_336_12,0.13409158934450763,0.0008385058,0.06746504757359185
52,temp_last_day_5,0.13379227776114935,0.0003407193,0.06706649853050296
53,target_lag_336_10,0.1331936545944328,0.00047564443,0.06683464950972808
54,temp_last_day_11,0.13229571984435798,0.00022240877,0.06625906430502605
55,target_lag_336_2,0.13109847351092488,0.00040921205,0.06575384278082576
56,U_15,0.1307991619275666,0.00019474924,0.06549695558474712
57,rain_probability_23,0.13049985034420833,0.0007405214,0.06562018587850839
58,target_lag_336_11,0.13020053876085005,0.0005683799,0.06538445932085525
59,rain_probability_6,0.12990122717749178,0.0010913847,0.06549630592781976
60,target_lag_24_3,0.12990122717749178,0.0015011812,0.06570120417019278
61,target_lag_336_9,0.12990122717749178,0.00051478506,0.06520800611907542
62,temp_last_day_6,0.1296019155941335,0.00038429556,0.0649931055785571
63,U_2,0.1296019155941335,0.000504422,0.06505316879783708
64,temp_last_day_20,0.12900329242741695,0.00031082865,0.0646570605373802
65,temp_pred_4,0.12840466926070038,0.0023886927,0.0653966809772426
66,P_21,0.1281053576773421,0.00045533205,0.06428034486209122
67,target_lag_72_20,0.12780604609398383,0.0021877766,0.06499691135305086
68,target_lag_336_4,0.12630948817719245,0.00059043255,0.06344996036444095
69,day,0.12601017659383418,0.00091778126,0.06346397892731503
70,U_5,0.12511224184375935,0.00036946748,0.06274085466263224
71,target_lag_24_12,0.12511224184375935,0.00080947333,0.06296085758928549
72,temp_last_day_21,0.1245136186770428,0.00032383477,0.06241872672393378
73,temp_last_day_22,0.12421430709368453,0.00034464785,0.06227947747249574
74,U_13,0.12152050284346004,0.00015752723,0.060839015038059545
75,target_lag_336_3,0.12122119126010177,0.00034165735,0.060781424302758895
76,target_lag_24_18,0.12092187967674349,0.0009579913,0.060939935482160694
77,rain_probability_16,0.12062256809338522,0.00033743918,0.060480003637567
78,day_of_week,0.12062256809338522,0.0029815775,0.06180207281380689
79,target_lag_72_7,0.12062256809338522,0.0013644705,0.060993519276453016
80,temp_last_day_15,0.12032325651002694,0.00030185035,0.06031255342925256
81,VVP,0.12032325651002694,0.0011214593,0.06072235790300006
82,target_lag_336_13,0.12032325651002694,0.000480785,0.060402020757760015
83,rain_probability_18,0.12002394492666867,0.0002773988,0.06015067186054623
84,U_11,0.11972463334331039,0.0001570923,0.05994086282416355
85,temp_last_day_12,0.11882669859323555,0.0003738679,0.05960028324329712
86,P_22,0.118228075426519,0.0006645494,0.05944631242029373
87,target_lag_72_13,0.11762945225980245,0.0003989003,0.0590141762807319
88,target_lag_336_5,0.11733014067644418,0.00038777108,0.05885895588032518
89,temp_last_day_16,0.11643220592636935,0.00033079242,0.058381499173107296
90,U_16,0.11643220592636935,0.00018148567,0.05830684579616573
91,target_lag_336_20,0.11613289434301108,0.00069509906,0.05841399670381285
92,target_lag_336_14,0.1158335827596528,0.0005351791,0.05818438093192156
93,last_day_avg_temp_23,0.1158335827596528,0.0008047785,0.05831918061957907
94,target_lag_72_11,0.1158335827596528,0.00029944917,0.05806651596285149
95,target_lag_24_22,0.11553427117629453,0.001429171,0.05848172106423653
96,temp_last_day_10,0.11493564800957796,0.00026507737,0.05760036268861788
97,temp_last_day_7,0.11463633642621969,0.0004525929,0.05754446466847638
98,U_14,0.11463633642621969,0.00018383806,0.057410087241019016
99,rain_probability_1,0.11403771325950314,0.0011185057,0.057578109491173125
