data,curs
01.06.2022,63
31.05.2022,65
28.05.2022,69
27.05.2022,64
26.05.2022,58
25.05.2022,59
24.05.2022,60
21.05.2022,61
20.05.2022,65
19.05.2022,67
18.05.2022,66
17.05.2022,66
14.05.2022,66
13.05.2022,69
12.05.2022,73
07.05.2022,71
06.05.2022,70
05.05.2022,73
30.04.2022,75
29.04.2022,75
28.04.2022,76
27.04.2022,77
26.04.2022,77
23.04.2022,80
22.04.2022,81
21.04.2022,83
20.04.2022,86
19.04.2022,86
16.04.2022,87
15.04.2022,88
14.04.2022,87
13.04.2022,87
12.04.2022,86
09.04.2022,82
08.04.2022,83
07.04.2022,91
06.04.2022,92
05.04.2022,92
02.04.2022,92
01.04.2022,92
31.03.2022,94
30.03.2022,96
29.03.2022,103
26.03.2022,105
25.03.2022,105
24.03.2022,113
23.03.2022,115
22.03.2022,116
19.03.2022,114
18.03.2022,116
17.03.2022,119
16.03.2022,122
15.03.2022,127
12.03.2022,129
11.03.2022,133
10.03.2022,126
06.03.2022,116
05.03.2022,117
04.03.2022,124
03.03.2022,115
02.03.2022,103
01.03.2022,104
26.02.2022,94
25.02.2022,98
23.02.2022,91
22.02.2022,87
19.02.2022,86
18.02.2022,86
17.02.2022,85
16.02.2022,86
15.02.2022,87
12.02.2022,85
11.02.2022,85
10.02.2022,85
09.02.2022,86
08.02.2022,87
05.02.2022,87
04.02.2022,87
03.02.2022,86
02.02.2022,87
01.02.2022,87
29.01.2022,87
28.01.2022,88
27.01.2022,89
26.01.2022,89
25.01.2022,88
22.01.2022,87
21.01.2022,87
20.01.2022,87
19.01.2022,87
18.01.2022,87
15.01.2022,87
14.01.2022,85
13.01.2022,85
12.01.2022,85
11.01.2022,85
31.12.2021,84
30.12.2021,83
29.12.2021,83
28.12.2021,83
25.12.2021,83
24.12.2021,83
23.12.2021,83
22.12.2021,83
21.12.2021,84
18.12.2021,84
17.12.2021,83
16.12.2021,83
15.12.2021,83
14.12.2021,83
11.12.2021,83
10.12.2021,83
09.12.2021,83
08.12.2021,84
07.12.2021,83
04.12.2021,83
03.12.2021,84
02.12.2021,84
01.12.2021,85
30.11.2021,84
27.11.2021,85
26.11.2021,84
25.11.2021,84
24.11.2021,84
23.11.2021,83
20.11.2021,83
19.11.2021,82
18.11.2021,82
17.11.2021,83
16.11.2021,83
13.11.2021,82
12.11.2021,82
11.11.2021,82
10.11.2021,83
09.11.2021,83
04.11.2021,83
03.11.2021,83
02.11.2021,82
30.10.2021,82
29.10.2021,82
28.10.2021,81
27.10.2021,81
26.10.2021,82
23.10.2021,82
22.10.2021,83
21.10.2021,83
20.10.2021,83
19.10.2021,82
16.10.2021,83
15.10.2021,83
14.10.2021,83
13.10.2021,83
12.10.2021,83
09.10.2021,83
08.10.2021,84
07.10.2021,84
06.10.2021,84
05.10.2021,85
02.10.2021,84
01.10.2021,84
30.09.2021,85
29.09.2021,85
28.09.2021,85
25.09.2021,86
24.09.2021,85
23.09.2021,85
22.09.2021,86
21.09.2021,86
18.09.2021,85
17.09.2021,85
16.09.2021,86
15.09.2021,86
14.09.2021,86
11.09.2021,86
10.09.2021,86
09.09.2021,87
08.09.2021,87
07.09.2021,87
04.09.2021,87
03.09.2021,86
02.09.2021,86
01.09.2021,87
31.08.2021,87
28.08.2021,87
27.08.2021,87
26.08.2021,87
25.08.2021,87
24.08.2021,87
21.08.2021,87
20.08.2021,87
19.08.2021,86
18.08.2021,86
17.08.2021,87
14.08.2021,86
13.08.2021,86
12.08.2021,87
11.08.2021,86
10.08.2021,86
07.08.2021,86
06.08.2021,87
05.08.2021,86
04.08.2021,87
03.08.2021,87
31.07.2021,87
30.07.2021,87
29.07.2021,87
28.07.2021,87
27.07.2021,87
24.07.2021,87
23.07.2021,87
22.07.2021,88
21.07.2021,88
20.07.2021,88
17.07.2021,88
16.07.2021,88
15.07.2021,87
14.07.2021,88
13.07.2021,89
10.07.2021,88
09.07.2021,89
08.07.2021,88
07.07.2021,87
06.07.2021,87
03.07.2021,87
02.07.2021,86
01.07.2021,87
30.06.2021,86
29.06.2021,86
26.06.2021,86
25.06.2021,86
24.06.2021,87
23.06.2021,87
22.06.2021,87
19.06.2021,86
18.06.2021,87
17.06.2021,87
16.06.2021,87
12.06.2021,87
11.06.2021,88
10.06.2021,88
09.06.2021,89
08.06.2021,89
05.06.2021,89
04.06.2021,89
03.06.2021,90
02.06.2021,90
01.06.2021,89
29.05.2021,90
28.05.2021,90
27.05.2021,90
26.05.2021,90
25.05.2021,90
22.05.2021,90
21.05.2021,90
20.05.2021,90
19.05.2021,90
18.05.2021,90
15.05.2021,90
14.05.2021,90
13.05.2021,90
12.05.2021,90
08.05.2021,90
07.05.2021,90
06.05.2021,90
05.05.2021,90
01.05.2021,91
30.04.2021,90
29.04.2021,90
28.04.2021,90
27.04.2021,90
24.04.2021,90
23.04.2021,92
22.04.2021,92
21.04.2021,92
20.04.2021,91
17.04.2021,90
16.04.2021,92
15.04.2021,91
14.04.2021,92
13.04.2021,92
10.04.2021,92
09.04.2021,92
08.04.2021,92
07.04.2021,90
06.04.2021,90
03.04.2021,90
02.04.2021,89
01.04.2021,89
31.03.2021,89
30.03.2021,89
27.03.2021,89
26.03.2021,90
25.03.2021,90
24.03.2021,90
23.03.2021,89
20.03.2021,88
19.03.2021,88
18.03.2021,87
17.03.2021,87
16.03.2021,87
13.03.2021,88
12.03.2021,88
11.03.2021,88
10.03.2021,88
06.03.2021,89
05.03.2021,89
04.03.2021,89
03.03.2021,90
02.03.2021,89
27.02.2021,90
26.02.2021,89
25.02.2021,90
21.02.2021,90
20.02.2021,90
19.02.2021,89
18.02.2021,89
17.02.2021,89
16.02.2021,89
13.02.2021,90
12.02.2021,89
11.02.2021,90
10.02.2021,90
09.02.2021,89
06.02.2021,90
05.02.2021,91
04.02.2021,92
03.02.2021,92
02.02.2021,92
30.01.2021,92
29.01.2021,92
28.01.2021,91
27.01.2021,92
26.01.2021,91
23.01.2021,90
22.01.2021,89
21.01.2021,89
20.01.2021,89
19.01.2021,89
16.01.2021,89
15.01.2021,90
14.01.2021,90
13.01.2021,90
12.01.2021,91
01.01.2021,91
31.12.2020,91
30.12.2020,90
29.12.2020,90
26.12.2020,90
25.12.2020,91
24.12.2020,92
23.12.2020,92
22.12.2020,91
19.12.2020,90
18.12.2020,89
17.12.2020,89
16.12.2020,89
15.12.2020,89
12.12.2020,89
11.12.2020,89
10.12.2020,89
09.12.2020,89
08.12.2020,90
05.12.2020,90
04.12.2020,91
03.12.2020,91
02.12.2020,91
01.12.2020,91
28.11.2020,90
27.11.2020,90
26.11.2020,90
25.11.2020,90
24.11.2020,90
21.11.2020,90
20.11.2020,90
19.11.2020,90
18.11.2020,90
17.11.2020,91
14.11.2020,91
13.11.2020,91
12.11.2020,90
11.11.2020,90
10.11.2020,91
07.11.2020,91
06.11.2020,92
04.11.2020,93
03.11.2020,94
31.10.2020,93
30.10.2020,93
29.10.2020,91
28.10.2020,90
27.10.2020,90
24.10.2020,90
23.10.2020,91
22.10.2020,91
21.10.2020,92
20.10.2020,91
17.10.2020,91
16.10.2020,91
15.10.2020,91
14.10.2020,91
13.10.2020,91
10.10.2020,91
09.10.2020,92
08.10.2020,92
07.10.2020,93
06.10.2020,92
03.10.2020,92
02.10.2020,91
01.10.2020,92
30.09.2020,93
29.09.2020,91
26.09.2020,90
25.09.2020,90
24.09.2020,89
23.09.2020,89
22.09.2020,90
19.09.2020,89
18.09.2020,89
17.09.2020,89
16.09.2020,89
15.09.2020,89
12.09.2020,89
11.09.2020,89
10.09.2020,90
09.09.2020,90
08.09.2020,89
05.09.2020,89
04.09.2020,89
03.09.2020,88
02.09.2020,88
01.09.2020,88
29.08.2020,89
28.08.2020,89
27.08.2020,89
26.08.2020,88
25.08.2020,88
22.08.2020,88
21.08.2020,87
20.08.2020,87
19.08.2020,87
18.08.2020,86
15.08.2020,86
14.08.2020,87
13.08.2020,86
12.08.2020,86
11.08.2020,87
08.08.2020,87
07.08.2020,87
06.08.2020,87
05.08.2020,87
04.08.2020,87
01.08.2020,87
31.07.2020,86
30.07.2020,85
29.07.2020,84
28.07.2020,84
25.07.2020,83
24.07.2020,82
23.07.2020,82
22.07.2020,81
21.07.2020,82
18.07.2020,82
17.07.2020,81
16.07.2020,81
15.07.2020,81
14.07.2020,80
11.07.2020,80
10.07.2020,80
09.07.2020,80
08.07.2020,81
07.07.2020,81
04.07.2020,79
03.07.2020,80
02.07.2020,79
01.07.2020,79
30.06.2020,79
27.06.2020,78
26.06.2020,78
25.06.2020,78
24.06.2020,78
23.06.2020,78
20.06.2020,78
19.06.2020,78
18.06.2020,78
17.06.2020,79
16.06.2020,79
12.06.2020,79
11.06.2020,78
10.06.2020,77
09.06.2020,77
06.06.2020,78
05.06.2020,77
04.06.2020,77
03.06.2020,77
02.06.2020,78
30.05.2020,79
29.05.2020,78
28.05.2020,78
27.05.2020,78
26.05.2020,78
23.05.2020,78
22.05.2020,78
21.05.2020,79
20.05.2020,79
19.05.2020,79
16.05.2020,79
15.05.2020,80
14.05.2020,80
13.05.2020,79
09.05.2020,80
08.05.2020,80
07.05.2020,80
01.05.2020,79
