name_adress,house_flat,sqrt_m,number_date,,
"7-этажный 48-квартирный (кирпич) дом пер. Лермонтовский, д. 7
ООО «Автотехсервис» ЭКОНОМ",1/48,3 442,"№39-RU39518101-049-2015 от 11.04.2019    ",,
"8-этажный 34-квартирный (проч.мат.) дом ул. Горького, д. 11
ООО «Строительная финансово-инвестиционная компания» ЭКОНОМ",1/34,2 047,"№39-RU39518101-065-2016 от 22.05.2019    ",,
"9-этажный 80-квартирный (смешанные) дом ул. Сосновая, д. 8
ООО «Балтийское строительство» ЭКОНОМ",1/80,4 174,"№39-RU39518101-22-2016 от 19.09.2019    ",,
"8-этажный 133-квартирный (смешанные) дом ул. Тихая, д. 12 (ГП № 11)
ООО «СК «Свет» ЭКОНОМ",1/133,3 766,"№39-RU39518101-66-2016 от 05.09.2019    ",,
"8-этажный 135-квартирный (проч.мат.) дом Майский проезд, д. 19 (ГП № 8)
ООО «Бизнес» ЭКОНОМ",1/135,4 764,"№39-RU39518101-72-2016 от 28.08.2019    ",,
"9-этажный 128-квартирный (проч.мат.) дом ул. Дачная, д. 6 (ГП №1)
ООО «КСК-Строй» ЭКОНОМ",1/128,5 355,"№39-RU39329000-195-2017 от 25.10.2019    ",,
"8-этажный 84-квартирный (камень, бетон) дом ул. Молодежная, д. 15 (ГП №11)
ООО «ОСТ-Строй» ЭКОНОМ",1/84,3 465,"№39-RU39329000-046-2015 от 31.10.2019    ",,
"8-этажный 84-квартирный (проч.мат., монол.) дом,  г. Светлогорск, ул. Молодежная, д. 21 (2 этап стр., по ГП № 14) ООО «ОСТ-Строй» ЭКОНОМ",1/84,3109,"№39-RU39329000-035-2016 от 18.12.2019    ",,
"8-этажный 34-квартирный (проч.мат.) дом,  г. Светлогорск, ул. Олимпийский бульвар, д. 14 (по ГП № 1), ООО «БСТ плюс» ЭКОНОМ",1/34,1955,"№39-RU39329000-333-2018 от 26.12.2019    ",,
"8-этажный 34-квартирный (проч.мат.) дом,  г. Светлогорск, ул. Олимпийский бульвар, д. 12 (по ГП № 2), ООО «БСТ плюс» ЭКОНОМ",1/34,1976,,,
"9-этажный 96-квартирный (смеш.) дом, г. Светлогорск, ул. Тихая, д. 6 (ГП №1, 1 эт), ООО «СЗ «ВЕГА» ЭКОНОМ",1/96,4635,"№39-RU39329000-209-2018 от 30.12.2019    ",,
Советский городской округ,1/12,662,,,
"3-этажный 12-квартирный (кирпич) дом ул. Школьная (ГП № 1)
ООО «Стандарт-Недвижимость» ЭКОНОМ",1/12,662,"№39-RU39309000-19-2018 от 16.07.2019    ",,
Нестеровский городской округ,1/50,2 755,,,
"6-этажный 50-квартирный (проч.мат.) дом ул. Советская, д. 1 «а»
ФГКУ «ПУФСБРФ по КО» ЭКОНОМ",1/50,2 755,"№39-RU39328000-318-2014 от 14.06.2019    ",,
Янтарный городской округ,2/32,2 032,,,
"3-этажный 20-квартирный (проч.мат.) дом ул. Балебина, д. 13
ООО «Эталон-строй» ЭКОНОМ",1/20,1 005,"№39-RU39319000-172-2018 от 29.05.2019    ",,
"4-этажный 12-квартирный (проч.мат.) дом 
ООО «Миранда-СтройИнвест» ЭКОНОМ",1/12,1 027,"№39-RU39319000-144-2010 от 10.09.2019    ",,
