name_adress,house_flat,sqrt_m,number_date,,
"10-этажный 319-квартирный (проч.мат.) дом ул. Елизаветинская, д. 4 (ГП № 1)                  АО СЗ «Акфен» ЭКОНОМ",1/319,15 634,"№ 39-RU39301000-164-2015 от 31.01.2020    ",,
"5-этажный 24-квартирный (проч.мат.) дом ул. Тихоокеанская, д. 60
ООО «КОНКРИ» ",1/24,1 163,"№ 39-RU39301000-249-2017 от 03.02.2020    ",,
"14-этажный 260-квартирный (проч.мат.) дом ул. Ст. Дадаева, д. 70 (3 этап, корп. 3)
ООО «Методика» ",1/260,15 614,"№ 39-RU39301000-263-2015 от 06.02.2020    ",,
"10-этажный 72-квартирный (проч.мат.) дом ул. Черниговская, д. 19 «д» (5 этап, ГП 5)
ООО СК «КПД Монтаж» ",1/72,3 914,"№ 39-RU39301000-172-2019 от 06.02.2020    ",,
"3-этажный 12-квартирный (кирп.) дом ул. Лобачевского
ООО «Альфа-Ресурс» ",1/12,689,"№ 39-RU39301000-364-2016 от 13.02.2020    ",,
"5-этажный 20-квартирный (проч.мат.) дом ул. Подп. Емельянова, д. 225
ООО «РЕГИОН-РЕСУРС» ЭКОНОМ",1/20,849,"№ 39-RU39301000-244-2018 от 04.03.2020    ",,
"3-этажный 6-квартирный (проч.мат.) дом ул. Млад. лейт. Родителева, д. 2
ООО «СК ПРАЙД»  ЭКОНОМ",1/6,575,"№ 39-RU39301000-113-2017 от 23.03.2020    ",,
"7-этажный 42-квартирный (кирп.) дом ул. Нансена, д. 66
ООО «КЕНИГАВТОСТРОЙ» ЭКОНОМ",1/42,2 139,"№ 39-RU39301000-158-2018 от 25.03.2020    ",,
"10-этажный  72-квартирный (смешан.) дом по ул. Инженерной, д.13 (V этап, № 5 по ГП) ООО «СТРОЙ ЛЭНД» ЭКОНОМ",1/72,4 548,"№ 39-RU39301000-118-2016
от 25.03.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом по ул. И. Земнухова, д. 6                                     ООО «Новые строительные технологии» ЭКОНОМ",1/36,1 932,"№ 39-RU39301000-141-2015
от 25.03.2020    ",,
"9-этажный 82-квартирный (из проч. мат.) дом ул. Азовская, д. 2
ООО «БАЛТИЙСКИЙ АТРИУМ» ЭКОНОМ",1/82,6 153,"№ 39-RU39301000-201-2017 от 17.04.2020    ",,
"10-этажный 108-квартирный (железоб.) дом ул. Черниговская, д. 19 «е» (ГП № 6)
ООО СЗ «КПД Монтаж» ЭКОНОМ",1/108,5 865,"№ 39-RU39301000-173-2019 от 22.04.2020    ",,
"6-этажный 40-квартирный (из проч. мат.) дом пр. Победы, д. 5 «а» 
ООО «НОВОСТРОЙ» ЭКОНОМ",1/40,3 204,"№ 39-RU39301000-230-2018 от 23.04.2020    ",,
"5-этажный 66-квартирный (кирп.) дом ул. Стрелецкая, д. 21 «в» (ГП № 2)
ООО «ЛЕГИОН» ЭКОНОМ",1/66,4 460,"№ 39-RU39301000-376-2016 от 24.04.2020    ",,
"5-этажный 73-квартирный (кирп.) дом ул. Стрелецкая, д. 21 «б» (ГП № 3)
ООО «ЛЕГИОН» ЭКОНОМ",1/73,4 339,"№ 39-RU39301000-376-2016 от 24.04.2020    ",,
"10-этажный 144-квартирный (смеш.) дом ул. Инженерная, д. 11 (ГП № 6)
ООО «Строй Лэнд» ЭКОНОМ",1/144,9 106,"№ 39-RU39301000-119-2016 от 08.05.2020    ",,
"3-этажный 12-квартирный (проч.мат.) дом ул. Пархоменко, д. 11 (ГП № 22)
ООО «Модуль-Запад» ЭКОНОМ",1/12,548,"№ 39-RU39301000-131-2018 от 19.05.2020    ",,
"4-этажный 18-квартирный (проч.мат.) дом ул. Окская, д. 17
Баходуров Т.И. – реконструкция ЭКОНОМ",1/18,1 191,"№ 39-RU39301000-237-2019 от 21.05.2020    ",,
"5-этажный 32-квартирный (проч.мат.) дом ул. Пархоменко, д. 15 (ГП № 23)
ООО «Модуль-Запад» ЭКОНОМ",1/32,1 454,"№ 39-RU39301000-198-2018 от 26.05.2020    ",,
"5-этажный 68-квартирный (проч.мат.) дом ул. Карташева, д. 42 «а»
ООО «Витязь» ЭКОНОМ",1/68,3 320,"№ 39-RU39301000-226-2018 от 26.05.2020    ",,
"10-этажный 289-квартирный (проч.мат.) дом по ул. Маршала Жукова, д. 10
МКП «УКС» ЭКОНОМ",1/289,12 807,"№ 39-RU39301000-302-2016
от 28.05.2020    ",,
"5-этажный 52-квартирный (проч.мат.) дом ул. Пархоменко, д. 17 (ГП № 24)
ООО «Модуль-Запад» ЭКОНОМ",1/52,2 438,"№ 39-RU39301000-199-2018 от 10.06.2020    ",,
"13-этажный 216-квартирный (кирп.) дом ул. Аксакова, д. 116 
ООО «Западная Строительно-Монтажная Компания» ЭКОНОМ",1/216,11 274,"№ 39-RU39301000-262-2015 от 19.06.2020    ",,
"4-этажный 12-квартирный (проч.мат.) дом пер. Лукашова, д. 14, корп. 1 (ПЗУ № 1)
ООО «СЗ СК-КАЛИНИНГРАД» ЭКОНОМ",1/12,669,"№ 39-RU39301000-149-2019 от 23.06.2020    ",,
"4-этажный 12-квартирный (проч.мат.) дом пер. Лукашова, д. 14, корп. 2 (ПЗУ № 2)
ООО «СЗ СК-КАЛИНИНГРАД» ЭКОНОМ",1/12,669,"№ 39-RU39301000-149-2019 от 23.06.2020    ",,
"5-этажный 27-квартирный (кирп.) дом пр. Мира, д. 89
ООО «Западспецстрой» ЭКОНОМ",1/27,3 657,"№ 39-RU39301000-070-2016 от 23.06.2020    ",,
"10,11-этажный 139-квартирный (проч.мат.) дом ул. А.Невского, д. 220, 
ООО «Билдинг Инвест» ЭКОНОМ",1/139,7 483,"№ 39-RU39301000-054-2018 от 29.06.2020    ",,
"5-этажный 25-квартирный (проч.мат.) дом ул. Луганская, д. 54 (ГП № 1)
ООО «СЗ Капитал-Риэлт» ЭКОНОМ",1/25,1 526,"№ 39-RU39301000-019-2019 от 30.06.2020    ",,
"5-этажный 25-квартирный (проч.мат.) дом ул. Луганская, д. 54А (ГП № 2)
ООО «СЗ Капитал-Риэлт» ЭКОНОМ",1/30,1 736,"№ 39-RU39301000-019-2019 от 30.06.2020    ",,
"5-этажный 96-квартирный (кирп.) дом ул. Марата, д. 1 
ООО «Курорт-Инвест» ЭКОНОМ",1/96,7 585,"№ 39-RU39301000-129-2017 от 26.06.2020    ",,
"5-этажный 36-квартирный (проч.мат.) дом ул. Пархоменко, д. 13 (ГП № 21)
ООО «Модуль-Запад» ЭКОНОМ",1/36,1 619,"№ 39-RU39301000-197-2018 от 30.06.2020    ",,
"10-этажный 96-квартирный (кирп.) дом пер. Ганзейский, д. 70 
ООО «Регион-Сервис» ЭКОНОМ",1/96,6 263,"№ 39-RU39301000-445-2019 от 14.07.2020    ",,
"4-этажный 8-квартирный (кирп.) дом пер. Ломоносова, д. 6 
Соловьева И.М. ЭКОНОМ",1/8,722,"№ 39-RU39301000-11-2020 от 20.07.2020    ",,
"4-этажный 24-квартирный (проч.мат.) дом ул. Суворова, д. 148В 
ООО «Вояж» ЭКОНОМ",1/24,1 031,"№ 39-RU39301000-063-2015 от 20.07.2020    ",,
"4-этажный 36-квартирный (проч.мат.) дом ул. Суворова, д. 148Б 
ООО «Вояж» ЭКОНОМ",1/36,1 546,"№ 39-RU39301000-063-2015 от 20.07.2020    ",,
"5-этажный 41-квартирный (кирп.) дом ул. Третьяковская, д. 5А 
ООО «Артмастер» ЭКОНОМ",1/41,2 664,"№ 39-RU39301000-346-2016 от 24.07.2020    ",,
"10-этажный 180-квартирный (проч.мат.) дом ул. Тихорецкая, д. 22В 
ООО «Калининградинвестстрой» ЭКОНОМ",1/180,8 392,"№ 39-RU39301000-060-2018 от 30.07.2020    ",,
"10-этажный 153-квартирный (ж/б) дом ул. Пригородная, д. 13 
ООО «СЗ «КПД-Монтаж» ЭКОНОМ",1/153,8 057,"№ 39-RU39301000-273-2018 от 30.07.2020    ",,
