name_adress,house_flat,sqrt_m,number_date,,
"10-этажный 99-квартирный (проч.мат.) дом ул. Первомайская, д. 5 
ООО «Сатурн» ЭКОНОМ",1/99,5 499,"№ 39-RU39301000-318-2013 от 31.07.2020    ",,
"11-этажный 118-квартирный (проч.мат.) дом (1 этап), ул. Понартская, д. 7А
ООО «Атлант» ЭКОНОМ ","0,5/118",6 327,"№ 39-RU39010000-166-2018 от 04.08.2020",,
"11-этажный 118-квартирный (проч.мат.) дом (2 этап), ул. Понартская, д. 7А
ООО «Атлант» ЭКОНОМ ","0,5/118
",6 327,"№ 39-RU39010000-167-2018 от 04.08.2020",,
"10-этажный 32-квартирный (проч.мат.) дом, ул. Батальная, д. 9
Соколова З.А. ЭКОНОМ ",1/32,1 788,"№ 39-RU39010000-156-2019 от 04.08.2020",,
"10-этажный 108-квартирный (ж/б.) дом, ул. Черниговская, д. 19Ж
ООО «СЗ «КПД-Монтаж» ЭКОНОМ ",1/108,5 882,"№ 39-RU39010000-174-2019 от 05.08.2020",,
"11-этажный 157-квартирный (кирп.) дом (1 этап), ул. Суздальская, д. 20, корп. 1
ООО «СЗ «Орбита» ЭКОНОМ ","0,5/157",7 990,"№ 39-RU39010000-102-2019 от 11.08.2020",,
"11-этажный 168-квартирный (кирп.) дом (2 этап), ул. Суздальская, д. 20, корп. 1
ООО «СЗ «Орбита» ЭКОНОМ ","0,5/168",8 522,"№ 39-RU39010000-103-2019 от 06.08.2020",,
"10-этажный 359-квартирный (проч.мат.) дом, ул. Новгородская, д. 5, корп. 1
ООО «Стройинвест» ЭКОНОМ ",1/359,19 684,"№ 39-RU39010000-181-2018 от 06.08.2020",,
"11-этажный 124-квартирный (проч.мат.) дом, пр. Советский, д. 238
ООО «Финштерн» ЭКОНОМ",1/124,7 498,"№ 39-RU39010000-251-2017 от 06.08.2020",,
"9-этажный 104-квартирный (проч.мат.) дом, пр. Советский, д. 236
ООО «Финштерн» ЭКОНОМ",1/104,5 692,"№ 39-RU39010000-250-2017 от 26.08.2020",,
"10-этажный 222-квартирный (проч.мат.) дом, ул. Ульяны Громовой, д. 131
ООО «АККО РД» ЭКОНОМ",1/222,10 208,"№ 39-RU39010000-367-2016 от 17.08.2020",,
"10-этажный 204-квартирный (проч.мат.) дом, ул. Суздальская, д. 11Б
АО «Стройкомплект-Импэкс» ЭКОНОМ",1/204,10 674,"№ 39-RU39010000-050-2018 от 17.08.2020",,
"10-этажный 14-квартирный (проч.мат.) дом, ул. Ломоносова, д. 93А
Матвеева О.В., Есипов Р.А. ЭКОНОМ",1/14,804,"№ 39-RU39010000-372-2018 от 18.08.2020",,
"9-этажный 96-квартирный (проч.мат.) дом, пер. Кутаисский, д. 2А
ООО «Феникс-МВВ» ЭКОНОМ",1/96,4 765,"№ 39-RU39010000-153-2018 от 21.08.2020",,
"9-этажный 136-квартирный (проч.мат.) дом, ул. Баженова, д. 13Б
ООО «Феникс-МВВ» ЭКОНОМ",1/136,6 885,"№ 39-RU39010000-153-2018 от 21.08.2020",,
"9-этажный 168-квартирный (проч.мат.) дом, ул. Баженова, д. 13В
ООО «Феникс-МВВ» ЭКОНОМ",1/168,8 475,"№ 39-RU39010000-153-2018 от 21.08.2020",,
"9-этажный 32-квартирный (проч.мат.) дом, ул. Кутаисская, д. 38
ООО «Феникс-МВВ» ЭКОНОМ",1/32,1 591,"№ 39-RU39010000-153-2018 от 21.08.2020",,
"5-этажный 10-квартирный (кирп.) дом, ул. Третьяковская, д. 19А
ООО «Артмастер» ЭКОНОМ",1/10,640,"№ 39-RU39010000-346-2016 от 25.08.2020",,
"5-этажный 44-квартирный (кирп.) дом, ул. Третьяковская, д. 13А
ООО «Артмастер» ЭКОНОМ",1/44,2 938,"№ 39-RU39010000-346-2016 от 25.08.2020",,
"11-этажный 430-квартирный (крупноблочн.мат.) дом, ул. Кипарисовая, д. 2
ООО «СЗ «Мегаполис-Жилстрой» ЭКОНОМ ",1/430,26 714,"№ 39-RU39010000-031-2016 от 01.09.2020",,
"5-этажный 32-квартирный (проч.мат.) дом, ул. Левитана, д. 40
ООО «Модуль-Запад» ЭКОНОМ",1/32,1 534,"№ 39-RU39010000-195-2016 от 28.09.2020",,
"10-этажный 144-квартирный (ж/б.) дом, ул. Пригородная, д. 13, корп. 2
ООО «СЗ «КПД Монтаж» ЭКОНОМ ",1/144,7 714,"№ 39-RU39010000-197-2019 от 01.10.2020",,
"5-этажный 32-квартирный (проч.мат.) дом, ул. Пархоменко, д. 5
ООО «Модуль-Запад» ЭКОНОМ",1/32,1 451,"№ 39-RU39010000-196-2018 от 06.10.2020",,
"10-этажный 144-квартирный (проч.мат.) дом, ул. Мирная, д. 1
ООО «Мосдорстрой» ЭКОНОМ",1/144,8 228,"№ 39-RU39010000-248-2017 от 09.10.2020",,
"10-этажный 134-квартирный (кирп.) дом, ул. Маршала Жукова, д. 6
ООО «Ремжилстрой-Инвест» ЭКОНОМ",1/134,9 000,"№ 39-RU39010000-188-2017 от 12.10.2020",,
"11-этажный 120-квартирный (проч. мат.) дом, ул. Суздальская, д. 20, корп. 2
ООО «СЗ «Орбита» ЭКОНОМ",1/120,6 049,"№ 39-RU39010000-104-2019 от 12.10.2020",,
"11-этажный 72-квартирный (проч. мат.) дом, ул. Артиллерийская, д. 85, 
ООО «АРТ-Строй» ЭКОНОМ",1/72,5 099,"№ 39-RU39010000-070-2018 от 14.10.2020",,
"11-этажный 150-квартирный (проч. мат.) дом, ул. Понартская, д. 7, 
ООО «Атлант» ЭКОНОМ",1/150,8 231,"№ 39-RU39010000-168-2018 от 26.10.2020",,
"10-этажный 145-квартирный (кирп.) дом, ул. Аллея Знаний, д. 5, 
ООО «Алком» ЭКОНОМ",1/145,9 219,"№ 39-RU39010000-189-2018 от 26.10.2020",,
"14-этажный 408-квартирный (смеш.) дом, ул. Памяти павших в Афганистане, д. 24, 
ООО «СЗ «Стройтранс» ЭКОНОМ",1/408,25 192,"№ 39-RU39010000-028-2018 от 29.10.2020",,
"17-этажный 83-квартирный (проч.мат.) дом, ул. Генерала Толстикова
ООО «Крылья» ЭКОНОМ ",1/83,6 480,"№ 39-RU39301000-384-2016 от 09.11.2020",,
"10-этажный 216-квартирный (проч.мат.) дом, ул. Новгородская, д. 5, корп. 3
ООО «Стройинвест» ЭКОНОМ ",1/216,11 219,"№ 39-RU39301000-179-2018 от 10.11.2020",,
"8-этажный 47-квартирный (проч.мат.) дом, ул. Рассветная, д. 23
ООО «Спецстрой-Инвест» ЭКОНОМ",1/47,3 051,"№ 39-RU39301000-006-2014 от 11.11.2020",,
"8-этажный 47-квартирный (проч.мат.) дом, ул. Рассветная, д. 21
ООО «Спецстрой-Инвест» ЭКОНОМ ",1/47,3 054,"№ 39-RU39301000-394-2013 от 11.11.2020",,
"13-этажный 198-квартирный (кирп.) дом, ул. Александра Суворова, д. 31
ООО «Рекстрой Плюс» ЭКОНОМ ",1/198,8 820,"№ 39-RU39301000-306-2015 от 12.11.2020",,
"11-этажный 127-квартирный (проч.мат.) дом, ул. Суздальская, д. 20
ООО «СЗ «Орбита» ЭКОНОМ ",1/127,6 653,"№ 39-RU39301000-105-2019 от 12.11.2020",,
"8-этажный 72-квартирный (крупнобл.) дом, пер. Воздушный, д. 1
ООО «СК Престиж» ЭКОНОМ ",1/72,5 149,"№ 39-RU39301000-276-2016 от 16.11.2020",,
"10-этажный 106-квартирный (проч.мат.) дом, бульвар Борисовский, д. 11
ООО «СЗ «ЖСС КО № 2» ЭКОНОМ ",1/106,7 197,"№ 39-RU39301000-128-2018 от 17.11.2020",,
"10-этажный 135-квартирный (проч.мат.) дом, ул. Тихорецкая, д. 22 А
ООО «Калининградинвестстрой» ЭКОНОМ ",1/135,6 084,"№ 39-RU39301000-139-2018 от 19.11.2020",,
"10-этажный 215-квартирный (проч.мат.) дом, ул. Ульяны Громовой, д. 13
ООО «Акко РД» ЭКОНОМ ",1/215,10 541,"№ 39-RU39301000-368-2016 от 19.11.2020",,
"4-этажный 9-квартирный (проч.мат.) дом, ул. Большая Окружная, д. 28
Сенсарев А.А., Догадин А.В., Гудкова В.М., Арутюнян Э.А., Федорако Е.З., Андрусов И.В., Нагорный О.С., Видякин Е.К. ЭКОНОМ ",1/9,929,"№ 39-RU39301000-328-2019 от 04.12.2020",,
"10-этажный 81-квартирный (ж/б.) дом, ул. Пригородная, д. 13
ООО «СЗ «КПД Монтаж» ЭКОНОМ ",1/81,4 299,"№ 39-RU39301000-198-2019 от 08.12.2020",,
"5-этажный 16-квартирный (проч.мат.) дом, ул. Бассейная, д. 59А
ООО «Стройстимул» ЭКОНОМ ",1/16,688,"№ 39-RU39301000-479-2019 от 08.12.2020",,
"3-этажный 12-квартирный (кирп. облегч.) дом, ул. Юрия Смирнова, д. 6 Б
ООО «СЗ «ЖК Смирнова»» ЭКОНОМ ",1/12,605,"№ 39-RU39301000-161-2018 от 09.12.2020",,
"9-этажный 77-квартирный (смеш.) дом, ул. Артиллерийская, д. 33А
ООО «Калининграднефтестрой» ЭКОНОМ ",1/77,4 215,"№ 39-RU39301000-083-2019 от 10.12.2020",,
"8-этажный 47-квартирный (кирп.) дом ул. Рассветная, д. 25, по ГП 6
ООО «Спецстрой-Инвест» ЭКОНОМ",1/47,3 041,"№ 39-RU39301000-075-2014 от 17.12.2020",,
"10-этажный 80-квартирный (проч.мат.) дом ул. Проф. Севастьянова, д. 22 «а»
ООО «Горстройинвест» ЭКОНОМ",1/80,6 183,"№ 39-RU39301000-173-2018 от 18.12.2020",,
"11-этажный 234-квартирный (проч.мат.) дом, ул. Клиническая 19 «а»
ЗАО «Стройкомплект-коммерц плюс» ЭКОНОМ",1/234,16 505,"№ 39-RU39301000-132-2018 от 21.12.2020",,
"11-этажный 90-квартирный (кирп.) дом ул. Аллея смелых, д. 198 Б, корп. 2
ООО «Русстройинвест» ЭКОНОМ ",1/90,4 581,"№ 39-RU39301000-287-2018 от 25.12.2020",,
"3-этажный 4-квартирный (проч.мат.) дом, ул. Поселковая, д. 58
ООО «Калининграднефтестрой» ЭКОНОМ ",1/4,355,"№ 39-RU39301000-476-2019 от 28.12.2020",,
"8-этажный 47-квартирный (кирп.) дом ул. Рассветная, д. 27, по ГП 5
ООО «Спецстрой-Инвест» ЭКОНОМ",1/47,3053,"№ 39-RU39301000-074-2014 от 24.12.2020",,
"13-этажный 182-квартирный (проч.мат.) дом ул. Аэропортная, д. 11
ООО «ТВ-Строй» ЭКОНОМ",1/182,10 984,"№ 39-RU39301000-130-2016 от 23.12.2020",,
"17-этажный 810-квартирный (крупнобл.) дом пр. Крымский, д. 2
ООО «СЗ «Мегаполис-Жилстрой» ЭКОНОМ",1/810,51 108,"№ 39-RU39301000-088-2016 от 23.12.2020",,
"17-этажный 144-квартирный (проч.мат.) дом бульвар Любови Шевцовой, д. 51
ООО «Талион» ЭКОНОМ",1/144,7 016,"№ 39-RU39301000-267-2016 от 28.12.2020",,
индивидуальные дома:,674/674,96 094,,,
Багратионовский городской округ,99/99,12 150,,,
индивидуальные дома:,99/99,12 150,,,
Балтийский городской округ,46/47,7 140,,,
многоквартирные дома:,1/2,392,,,
"Реконструкция нежилого здания под 2-этажный 2-квартирный (проч.мат.) дом 
ул. Гончарова, г. Балтийск, 
Леонова А.А.  ",1/2,392,"№ 39-RU39330000-356-2019 от 09.01.2020    ",,
индивидуальные дома:,45/45,6 748,,,
Гвардейский городской округ,59/59,8 401,,,
индивидуальные дома:,59/59,8 401,,,
Гурьевский городской округ,"1 054/
2 514",228 933,,,
многоквартирные дома:,34/1 494,74 017,,,
"3-этажный 45-квартирный (проч.мат.) дом поселок Голубево, Гурьевский городской округ, ул. Лазурная, 14 (ГП № 14), ООО «БаральтМ» ",1/45,1 278,"№ 39-RU39310000-80-2016 от 18.02.2020    ",,
"3-этажный 27-квартирный (проч.мат.) дом поселок Голубево, Гурьевский городской округ, ул. Лазурная, 13 (ГП № 13), ООО «БаральтМ» ",1/27,965,"№ 39-RU39310000-79-2016 от 18.02.2020    ",,
"3-этажный 27-квартирный (проч.мат.) дом ул. Лазурная, д. 11, пос. Голубево
ООО «БаральтМ» ЭКОНОМ",1/27,964,"№ 39-RU39310000-92-2016 от 17.03.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (2 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 232,"№ 39-RU39310000-674-2016 от 24.04.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (3 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 198,"№ 39-RU39310000-675-2016 от 24.04.2020    ",,
"3-этажный 15-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (5 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/15,720,"№ 39-RU39310000-676-2016 от 24.04.2020    ",,
"3-этажный 36-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (1 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/36,1 237,"№ 39-RU39310000-677-2016 от 24.04.2020    ",,
"3-этажный 15-квартирный (проч.мат.) дом ул. Безымянная, г. Гурьевск (4 эт.)
ООО «ГРАДСТРОЙ» ЭКОНОМ",1/15,811,"№ 39-RU39310000-678-2016 от 24.04.2020    ",,
"10-этажный 135-квартирный (проч.мат.) дом ул. Калининградское шоссе, 4 «д», 
г. Гурьевск ООО «ЛЮКС СТРОЙ СЕРВИС» ЭКОНОМ",1/135,8 162,"№ 39-RU39310000-143-2018 от 08.05.2020   ",,
"5-этажный 56-квартирный (кирп.) дом ул. Тепличная, 1, пос. Шоссейный, 
Гурьевский городской округ 
ООО «Строительная Компания Возрождение»  ЭКОНОМ",1/56,3 302,"№ 39-RU39310000-304-2018 от 22.05.2020   
 ",,
"3-этажный 18-квартирный (проч.мат.) дом ул. Старокаменная, 30А, пос. Невское
Чернеге Н.В. ЭКОНОМ",1/18,982,"№ 39-RU39310000-252-2017 от 09.06.2020   ",,
"5-этажный 36-квартирный (проч.мат.) дом ул. Садовая, 2Д, г. Гурьевск
ООО «Строительная Компания Строй Инвест 39» ЭКОНОМ",1/36,2 143,"№ 39-RU39310000-397-2018 от 17.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 122 (ГП № 1), пос.  Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 435,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 124 (ГП № 2), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 437,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 128 (ГП № 3), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 434,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"6-этажный 24-квартирный (проч.мат.) дом ул. Орудийная, д. 126 (ГП № 4), пос. Невское
ООО «Новый дом» ЭКОНОМ",1/24,1 435,"№ 39-RU39301000-342-2015 от 23.06.2020    ",,
"7-этажный 47-квартирный (проч.мат.) дом Рижский бульвар, д. 5 (ГП № 1), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/47,1 951,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 48-квартирный (проч.мат.) дом Рижский бульвар, д. 6 (ГП № 5), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/48,1 975,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 144-квартирный (проч.мат.) дом Рижский бульвар, д. 4 (ГП № 6), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/144,6 037,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"7-этажный 48-квартирный (проч.мат.) дом Рижский бульвар, д. 2 (ГП № 7), г. Гурьевск
ООО «Первый Квартал» ЭКОНОМ",1/48,1 976,"№ 39-RU39301000-080-2018 от 25.06.2020    ",,
"3-этажный 54-квартирный (проч.мат.) дом, ул. Лазурная, д. 13, пос. Голубево
ООО «Баральт-М» ЭКОНОМ",1/54,1 363,"№ 39-RU39310000-571-2016 от 12.10.2020",,
"3-этажный 54-квартирный (проч.мат.) дом, ул. Лазурная, д. 19, пос. Голубево
ООО «Баральт-М» ЭКОНОМ",1/54,1 361,"№ 39-RU39310000-573-2016 от 10.11.2020",,
"3-этажный 21-квартирный (проч.мат.) дом, ул. Петропавловская, д. 1 А, пос. Невское
ООО «Центр Долевого Строительства» ЭКОНОМ",1/21,1 210,"№ 39-RU39310000-003-2017 от 16.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 5 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/27,1 493,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 5 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ
",1/27,1 500,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"7-этажный 27-квартирный (проч.мат.) дом, ул. Крайняя, д. 4 В, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/27,1 495,"№ 39-RU39310000-338-2014 от 24.11.2020",,
"8-этажный 60-квартирный (проч.мат.) дом, ул. Крайняя, д. 4 Б, г. Гурьевск
ООО «СЗ «Комфорт» ЭКОНОМ",1/60,3 541,"№ 39-RU39310000-224-2018 от 24.11.2020",,
"3-этажный 12-квартирный (проч.мат.) дом ул. Луговая, г. Гурьевск
Шустова К.А. ",1/12,739,"№ 39-RU39310000-001-2018 от 14.12.2020",,
"4-этажный 11-квартирный (проч.мат.) дом ул. Гурьева, г. Гурьевск
Хаустов К.В. ",1/11,896,"№ 39-RU39310000-555-2016 от 21.12.2020",,
"7-этажный 43-квартирный (проч.мат.) дом, ул. Уютная, д. 15, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/43,2 547,"№ 39-RU39310000-329-2019 от 25.12.2020",,
"6-этажный 48-квартирный (проч.мат.) дом, ул. Уютная, д. 11, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/48,2 819,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 102-квартирный (проч.мат.) дом, ул. Уютная, д. 12, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/102,6 008,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 94-квартирный (проч.мат.) дом, ул. Уютная, д. 13, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/94,5 451,"№ 39-RU39310000-738-2014 от 28.12.2020",,
"6-этажный 49-квартирный (проч.мат.) дом, ул. Уютная, д. 14, пос. Большое Исаково
ООО «Норд Вэй» ЭКОНОМ ",1/49,2 920,"№ 39-RU39310000-738-2014 от 28.12.2020",,
индивидуальные дома:,"1 020/
1 020",152 862,,,
Гусевский городской округ,18/51,4 210,,,
многоквартирные дома:,2/35,2 105,,,
"4-этажный 11-квартирный (проч.мат.) дом ул. Московская, д. 33 «а» корп. 1, г. Гусев
Мишнев В.В. ",1/11,883,"№ 39-RU39311000-078-2019 от 05.02.2020    ",,
"4-этажный 24-квартирный (проч.мат.) дом, ул. Московская, д.33 А, корп. 2, г. Гусев,
Мишнев В.В. ЭКОНОМ",1/24,1 222,"№ 39-RU39311000-078-2019 от 06.11.2020",,
индивидуальные дома:,16/16,2 105,,,
Зеленоградский городской округ,473/1 745,139 034,                                                                                      ,,
многоквартирные дома:,21/1 293,65 546,,,
