TRADEDATE,MOEX,RTSI
212,01.11.2019,2930,1455
213,05.11.2019,2950,1460
214,06.11.2019,2981,1471
215,07.11.2019,3009,1487
216,08.11.2019,2973,1468
217,11.11.2019,2961,1461
218,12.11.2019,2951,1449
219,13.11.2019,2934,1438
220,14.11.2019,2922,1437
221,15.11.2019,2935,1449
222,18.11.2019,2924,1443
223,19.11.2019,2942,1452
224,20.11.2019,2936,1448
225,21.11.2019,2943,1455
226,22.11.2019,2948,1455
227,25.11.2019,2955,1455
228,26.11.2019,2931,1441
229,27.11.2019,2929,1441
230,28.11.2019,2928,1439
231,29.11.2019,2935,1438
232,02.12.2019,2921,1433
233,03.12.2019,2883,1414
234,04.12.2019,2901,1430
235,05.12.2019,2899,1430
236,06.12.2019,2929,1448
237,09.12.2019,2945,1457
238,10.12.2019,2932,1454
239,11.12.2019,2954,1463
240,12.12.2019,2983,1497
241,13.12.2019,2997,1501
242,16.12.2019,3006,1517
243,17.12.2019,3013,1521
244,18.12.2019,3024,1523
245,19.12.2019,3008,1519
246,20.12.2019,3016,1524
247,23.12.2019,3034,1535
248,24.12.2019,3031,1540
249,25.12.2019,3031,1544
250,26.12.2019,3032,1535
251,27.12.2019,3050,1549
252,30.12.2019,3046,1549
253,03.01.2020,3076,1564
254,06.01.2020,3079,1568
255,08.01.2020,3110,1589
256,09.01.2020,3118,1602
257,10.01.2020,3124,1615
258,13.01.2020,3152,1620
259,14.01.2020,3130,1605
260,15.01.2020,3133,1602
261,16.01.2020,3157,1613
262,17.01.2020,3197,1638
263,20.01.2020,3220,1647
264,21.01.2020,3209,1634
265,22.01.2020,3175,1613
266,23.01.2020,3141,1596
267,24.01.2020,3146,1600
268,27.01.2020,3085,1542
269,28.01.2020,3113,1572
270,29.01.2020,3129,1571
271,30.01.2020,3109,1545
272,31.01.2020,3077,1517
273,03.02.2020,3071,1521
274,04.02.2020,3098,1547
275,05.02.2020,3114,1560
276,06.02.2020,3097,1539
277,07.02.2020,3088,1518
278,10.02.2020,3062,1504
279,11.02.2020,3098,1540
280,12.02.2020,3122,1557
281,13.02.2020,3110,1544
282,14.02.2020,3097,1535
283,17.02.2020,3110,1543
284,18.02.2020,3074,1516
285,19.02.2020,3115,1542
286,20.02.2020,3125,1536
287,21.02.2020,3106,1525
288,25.02.2020,3003,1446
289,26.02.2020,3017,1461
290,27.02.2020,2916,1386
291,28.02.2020,2785,1300
292,02.03.2020,2766,1303
293,03.03.2020,2821,1358
294,04.03.2020,2828,1348
295,05.03.2020,2817,1324
296,06.03.2020,2720,1258
297,10.03.2020,2499,1094
298,11.03.2020,2493,1086
299,12.03.2020,2286,966
300,13.03.2020,2316,992
301,16.03.2020,2267,967
302,17.03.2020,2225,935
303,18.03.2020,2113,832
304,19.03.2020,2276,903
305,20.03.2020,2332,924
306,23.03.2020,2253,884
307,24.03.2020,2416,965
308,25.03.2020,2453,982
309,26.03.2020,2490,1017
310,27.03.2020,2401,955
311,30.03.2020,2433,959
312,31.03.2020,2509,1014
313,01.04.2020,2474,988
314,02.04.2020,2546,1034
315,03.04.2020,2572,1050
316,06.04.2020,2623,1083
317,07.04.2020,2635,1100
318,08.04.2020,2670,1115
319,09.04.2020,2702,1155
320,10.04.2020,2678,1142
321,13.04.2020,2629,1125
322,14.04.2020,2632,1133
323,15.04.2020,2499,1047
324,16.04.2020,2515,1067
325,17.04.2020,2535,1079
326,20.04.2020,2526,1068
327,21.04.2020,2488,1012
328,22.04.2020,2573,1066
329,23.04.2020,2599,1100
330,24.04.2020,2562,1081
331,27.04.2020,2571,1084
332,28.04.2020,2612,1110
333,29.04.2020,2663,1145
334,30.04.2020,2651,1125
335,04.05.2020,2625,1099
336,05.05.2020,2654,1133
337,06.05.2020,2632,1111
338,07.05.2020,2634,1126
339,08.05.2020,2642,1136
340,12.05.2020,2642,1137
341,13.05.2020,2605,1110
342,14.05.2020,2590,1103
343,15.05.2020,2594,1107
344,18.05.2020,2694,1168
345,19.05.2020,2712,1177
346,20.05.2020,2771,1225
347,21.05.2020,2719,1206
348,22.05.2020,2709,1188
349,25.05.2020,2758,1213
350,26.05.2020,2754,1225
351,27.05.2020,2741,1212
352,28.05.2020,2780,1242
353,29.05.2020,2735,1220
354,01.06.2020,2750,1248
355,02.06.2020,2797,1278
356,03.06.2020,2831,1302
357,04.06.2020,2766,1257
358,05.06.2020,2793,1286
359,08.06.2020,2796,1289
360,09.06.2020,2796,1284
361,10.06.2020,2785,1278
362,11.06.2020,2744,1238
363,15.06.2020,2719,1222
364,16.06.2020,2748,1243
365,17.06.2020,2740,1238
366,18.06.2020,2724,1231
367,19.06.2020,2759,1250
368,22.06.2020,2763,1257
369,23.06.2020,2792,1281
370,25.06.2020,2761,1257
371,26.06.2020,2762,1247
372,29.06.2020,2768,1240
373,30.06.2020,2743,1213
374,02.07.2020,2789,1248
375,03.07.2020,2802,1235
376,06.07.2020,2835,1247
377,07.07.2020,2825,1248
378,08.07.2020,2816,1246
379,09.07.2020,2782,1234
380,10.07.2020,2801,1246
381,13.07.2020,2767,1234
382,14.07.2020,2745,1217
383,15.07.2020,2748,1219
384,16.07.2020,2760,1220
385,17.07.2020,2775,1216
386,20.07.2020,2802,1236
387,21.07.2020,2826,1260
388,22.07.2020,2835,1255
389,23.07.2020,2852,1262
390,24.07.2020,2863,1256
391,27.07.2020,2885,1266
392,28.07.2020,2895,1258
393,29.07.2020,2918,1266
394,30.07.2020,2883,1232
395,31.07.2020,2912,1234
396,03.08.2020,2930,1257
397,04.08.2020,2940,1260
398,05.08.2020,2993,1295
399,06.08.2020,2988,1282
400,07.08.2020,2972,1271
401,10.08.2020,2961,1268
402,11.08.2020,3006,1296
403,12.08.2020,3054,1307
404,13.08.2020,3080,1326
405,14.08.2020,3062,1324
406,17.08.2020,3052,1309
407,18.08.2020,3051,1312
408,19.08.2020,3057,1316
409,20.08.2020,2994,1273
410,21.08.2020,2996,1262
411,24.08.2020,3029,1282
412,25.08.2020,3029,1267
413,26.08.2020,3052,1273
414,27.08.2020,3012,1265
415,28.08.2020,2980,1266
416,31.08.2020,2966,1259
417,01.09.2020,2975,1274
418,02.09.2020,2956,1235
419,03.09.2020,2932,1223
420,04.09.2020,2922,1220
421,07.09.2020,2932,1219
422,08.09.2020,2889,1189
423,09.09.2020,2876,1201
424,10.09.2020,2898,1217
425,11.09.2020,2911,1223
426,14.09.2020,2928,1228
427,15.09.2020,2981,1254
428,16.09.2020,2975,1252
429,17.09.2020,2972,1243
430,18.09.2020,2952,1229
431,21.09.2020,2864,1181
432,22.09.2020,2885,1193
433,23.09.2020,2916,1196
434,24.09.2020,2913,1189
435,25.09.2020,2897,1165
436,28.09.2020,2927,1167
437,29.09.2020,2910,1156
438,30.09.2020,2906,1179
439,01.10.2020,2890,1174
440,02.10.2020,2852,1148
441,05.10.2020,2882,1158
442,06.10.2020,2893,1169
443,07.10.2020,2843,1144
444,08.10.2020,2846,1159
445,09.10.2020,2834,1164
446,12.10.2020,2846,1163
447,13.10.2020,2829,1156
448,14.10.2020,2856,1160
449,15.10.2020,2817,1132
450,16.10.2020,2800,1133
451,19.10.2020,2794,1135
452,20.10.2020,2803,1141
453,21.10.2020,2786,1143
454,22.10.2020,2803,1155
455,23.10.2020,2817,1164
456,26.10.2020,2786,1152
457,27.10.2020,2763,1131
458,28.10.2020,2693,1078
459,29.10.2020,2709,1079
460,30.10.2020,2691,1067
461,02.11.2020,2738,1069
462,03.11.2020,2786,1108
463,05.11.2020,2861,1171
464,06.11.2020,2896,1178
465,09.11.2020,2988,1236
466,10.11.2020,2999,1233
467,11.11.2020,3015,1234
468,12.11.2020,3026,1238
469,13.11.2020,3025,1228
470,16.11.2020,3080,1269
471,17.11.2020,3052,1258
472,18.11.2020,3081,1277
473,19.11.2020,3046,1259
474,20.11.2020,3051,1263
475,23.11.2020,3047,1257
476,24.11.2020,3096,1287
477,25.11.2020,3135,1302
478,26.11.2020,3139,1307
479,27.11.2020,3143,1302
480,30.11.2020,3108,1282
481,01.12.2020,3148,1311
482,02.12.2020,3190,1335
483,03.12.2020,3163,1339
484,04.12.2020,3185,1357
485,07.12.2020,3195,1369
486,08.12.2020,3180,1365
487,09.12.2020,3212,1372
488,10.12.2020,3258,1405
489,11.12.2020,3277,1413
490,14.12.2020,3255,1398
491,15.12.2020,3248,1390
492,16.12.2020,3270,1400
493,17.12.2020,3283,1419
494,18.12.2020,3274,1402
495,21.12.2020,3186,1336
496,22.12.2020,3236,1351
497,23.12.2020,3252,1367
498,24.12.2020,3237,1378
499,25.12.2020,3246,1378
500,28.12.2020,3259,1391
501,29.12.2020,3275,1398
502,30.12.2020,3289,1387
503,04.01.2021,3351,1425
504,05.01.2021,3359,1426
505,06.01.2021,3371,1437
506,08.01.2021,3455,1466
507,11.01.2021,3482,1467
508,12.01.2021,3472,1485
509,13.01.2021,3470,1487
510,14.01.2021,3491,1501
511,15.01.2021,3451,1474
512,18.01.2021,3472,1475
513,19.01.2021,3443,1471
514,20.01.2021,3467,1487
515,21.01.2021,3423,1464
516,22.01.2021,3383,1418
517,25.01.2021,3397,1412
518,26.01.2021,3391,1423
519,27.01.2021,3344,1393
520,28.01.2021,3342,1385
521,29.01.2021,3277,1368
522,01.02.2021,3291,1364
523,02.02.2021,3360,1399
524,03.02.2021,3343,1387
525,04.02.2021,3372,1403
526,05.02.2021,3393,1432
527,08.02.2021,3446,1462
528,09.02.2021,3427,1458
529,10.02.2021,3400,1448
530,11.02.2021,3414,1461
531,12.02.2021,3427,1462
532,15.02.2021,3482,1496
533,16.02.2021,3495,1495
534,17.02.2021,3437,1462
535,18.02.2021,3400,1447
536,19.02.2021,3458,1472
537,20.02.2021,3446,1466
538,22.02.2021,3434,1455
539,24.02.2021,3385,1446
540,25.02.2021,3410,1450
541,26.02.2021,3347,1412
542,01.03.2021,3386,1443
543,02.03.2021,3410,1452
544,03.03.2021,3416,1454
545,04.03.2021,3398,1455
546,05.03.2021,3414,1447
547,09.03.2021,3479,1482
548,10.03.2021,3463,1480
549,11.03.2021,3509,1505
550,12.03.2021,3540,1520
551,15.03.2021,3584,1544
552,16.03.2021,3590,1553
553,17.03.2021,3508,1494
554,18.03.2021,3505,1489
555,19.03.2021,3475,1474
556,22.03.2021,3489,1468
557,23.03.2021,3467,1436
558,24.03.2021,3485,1437
559,25.03.2021,3439,1417
560,26.03.2021,3490,1450
561,29.03.2021,3529,1468
562,30.03.2021,3525,1460
563,31.03.2021,3542,1477
564,01.04.2021,3528,1457
565,02.04.2021,3558,1467
566,05.04.2021,3525,1457
567,06.04.2021,3494,1427
568,07.04.2021,3500,1430
569,08.04.2021,3508,1440
570,09.04.2021,3486,1418
571,12.04.2021,3523,1432
572,13.04.2021,3526,1459
573,14.04.2021,3577,1490
574,15.04.2021,3569,1475
575,16.04.2021,3598,1497
576,19.04.2021,3574,1477
577,20.04.2021,3552,1455
578,21.04.2021,3562,1464
579,22.04.2021,3600,1502
580,23.04.2021,3597,1512
581,26.04.2021,3611,1519
582,27.04.2021,3601,1516
583,28.04.2021,3578,1509
584,29.04.2021,3571,1511
585,30.04.2021,3544,1485
586,04.05.2021,3577,1503
587,05.05.2021,3644,1536
588,06.05.2021,3658,1551
589,07.05.2021,3683,1578
590,10.05.2021,3695,1571
591,11.05.2021,3652,1553
592,12.05.2021,3654,1548
593,13.05.2021,3637,1547
594,14.05.2021,3638,1549
595,17.05.2021,3640,1551
596,18.05.2021,3688,1574
