TRADEDATE,MOEX,RTSI
930,04.10.2022,2046,1100
931,05.10.2022,2030,1062
932,06.10.2022,2021,1045
933,07.10.2022,1945,1005
934,10.10.2022,1917,964
935,11.10.2022,1949,965
936,12.10.2022,1952,955
937,13.10.2022,1955,968
938,14.10.2022,1951,991
939,17.10.2022,2013,1028
940,18.10.2022,2032,1040
941,19.10.2022,1978,1010
942,20.10.2022,2026,1042
943,21.10.2022,2044,1051
944,24.10.2022,2064,1063
945,25.10.2022,2131,1091
946,26.10.2022,2121,1089
947,27.10.2022,2165,1106
948,28.10.2022,2168,1114
949,31.10.2022,2167,1112
950,01.11.2022,2174,1118
951,02.11.2022,2174,1109
952,03.11.2022,2156,1094
953,07.11.2022,2209,1141
954,08.11.2022,2207,1143
955,09.11.2022,2167,1114
956,10.11.2022,2210,1150
957,11.11.2022,2217,1158
958,14.11.2022,2245,1170
959,15.11.2022,2223,1160
960,16.11.2022,2227,1164
961,17.11.2022,2213,1152
962,18.11.2022,2206,1147
963,21.11.2022,2166,1122
964,22.11.2022,2196,1143
965,23.11.2022,2212,1147
966,24.11.2022,2211,1146
967,25.11.2022,2195,1141
968,28.11.2022,2177,1122
969,29.11.2022,2185,1129
970,30.11.2022,2175,1125
971,01.12.2022,2187,1124
972,02.12.2022,2180,1108
973,05.12.2022,2208,1115
974,06.12.2022,2196,1097
975,07.12.2022,2193,1099
976,08.12.2022,2184,1097
977,09.12.2022,2178,1099
978,12.12.2022,2173,1089
979,13.12.2022,2174,1089
980,14.12.2022,2160,1061
981,15.12.2022,2127,1042
982,16.12.2022,2133,1039
983,19.12.2022,2130,991
984,20.12.2022,2119,967
985,21.12.2022,2116,940
986,22.12.2022,2123,970
987,23.12.2022,2124,964
988,26.12.2022,2139,977
989,27.12.2022,2151,961
990,28.12.2022,2140,934
991,29.12.2022,2147,937
992,30.12.2022,2154,971
993,03.01.2023,2173,963
994,04.01.2023,2168,950
995,05.01.2023,2157,941
996,06.01.2023,2156,943
997,09.01.2023,2164,978
998,10.01.2023,2160,975
999,11.01.2023,2187,1003
1000,12.01.2023,2186,1016
1001,13.01.2023,2200,1010
1002,16.01.2023,2225,1024
1003,17.01.2023,2197,1003
1004,18.01.2023,2196,1006
1005,19.01.2023,2169,993
1006,20.01.2023,2167,992
1007,23.01.2023,2185,999
1008,24.01.2023,2173,990
1009,25.01.2023,2170,987
1010,26.01.2023,2167,986
1011,27.01.2023,2189,992
1012,30.01.2023,2204,987
1013,31.01.2023,2226,1001
1014,01.02.2023,2230,1002
1015,02.02.2023,2244,1004
1016,03.02.2023,2248,1003
1017,06.02.2023,2272,1007
1018,07.02.2023,2268,1004
1019,08.02.2023,2252,982
1020,09.02.2023,2262,978
1021,10.02.2023,2262,972
1022,13.02.2023,2264,966
1023,14.02.2023,2232,953
1024,15.02.2023,2166,915
1025,16.02.2023,2154,907
1026,17.02.2023,2169,920
1027,20.02.2023,2184,922
1028,21.02.2023,2212,929
1029,22.02.2023,2212,929
1030,24.02.2023,2208,914
1031,27.02.2023,2241,945
1032,28.02.2023,2253,946
1033,01.03.2023,2280,956
1034,02.03.2023,2254,943
1035,03.03.2023,2272,945
1036,06.03.2023,2294,958
1037,07.03.2023,2296,951
1038,09.03.2023,2290,951
1039,10.03.2023,2276,943
1040,13.03.2023,2269,954
1041,14.03.2023,2290,958
1042,15.03.2023,2262,937
1043,16.03.2023,2258,927
1044,17.03.2023,2323,949
1045,20.03.2023,2397,980
1046,21.03.2023,2398,984
1047,22.03.2023,2394,980
1048,23.03.2023,2388,989
1049,24.03.2023,2392,978
1050,27.03.2023,2441,1002
1051,28.03.2023,2442,1000
1052,29.03.2023,2461,1005
1053,30.03.2023,2466,1006
1054,31.03.2023,2451,997
1055,03.04.2023,2473,989
1056,04.04.2023,2480,983
1057,05.04.2023,2501,988
1058,06.04.2023,2498,967
1059,07.04.2023,2508,975
1060,10.04.2023,2547,984
1061,11.04.2023,2534,973
1062,12.04.2023,2538,975
1063,13.04.2023,2544,983
1064,14.04.2023,2555,983
1065,17.04.2023,2596,1005
1066,18.04.2023,2616,1011
1067,19.04.2023,2607,1005
1068,20.04.2023,2638,1019
1069,21.04.2023,2640,1019
1070,24.04.2023,2635,1021
1071,25.04.2023,2627,1014
1072,26.04.2023,2620,1011
1073,27.04.2023,2646,1024
1074,28.04.2023,2635,1034
1075,02.05.2023,2581,1020
1076,03.05.2023,2532,1008
1077,04.05.2023,2525,1019
1078,05.05.2023,2538,1034
1079,08.05.2023,2528,1019
1080,10.05.2023,2549,1052
1081,11.05.2023,2595,1065
1082,12.05.2023,2565,1038
1083,15.05.2023,2611,1037
1084,16.05.2023,2634,1031
1085,17.05.2023,2634,1040
1086,18.05.2023,2633,1033
1087,19.05.2023,2626,1037
1088,22.05.2023,2633,1036
1089,23.05.2023,2642,1038
1090,24.05.2023,2655,1044
1091,25.05.2023,2650,1040
1092,26.05.2023,2682,1056
1093,29.05.2023,2732,1064
1094,30.05.2023,2699,1048
1095,31.05.2023,2718,1055
1096,01.06.2023,2722,1062
1097,02.06.2023,2719,1052
1098,05.06.2023,2694,1048
1099,06.06.2023,2681,1038
1100,07.06.2023,2695,1036
1101,08.06.2023,2710,1033
1102,09.06.2023,2708,1032
1103,13.06.2023,2757,1031
1104,14.06.2023,2765,1036
1105,15.06.2023,2800,1054
1106,16.06.2023,2801,1047
1107,19.06.2023,2815,1054
1108,20.06.2023,2804,1043
1109,21.06.2023,2819,1058
1110,22.06.2023,2816,1056
1111,23.06.2023,2795,1040
1112,26.06.2023,2757,1021
1113,27.06.2023,2777,1028
1114,28.06.2023,2781,1015
1115,29.06.2023,2796,1007
1116,30.06.2023,2797,983
1117,03.07.2023,2794,993
1118,04.07.2023,2808,987
1119,05.07.2023,2805,969
1120,06.07.2023,2820,971
1121,07.07.2023,2833,976
1122,10.07.2023,2857,993
1123,11.07.2023,2860,998
1124,12.07.2023,2897,1005
1125,13.07.2023,2886,1009
1126,14.07.2023,2903,1015
1127,17.07.2023,2918,1010
1128,18.07.2023,2955,1025
1129,19.07.2023,2943,1015
1130,20.07.2023,2917,1017
1131,21.07.2023,2924,1012
1132,24.07.2023,2937,1023
1133,25.07.2023,2975,1039
1134,26.07.2023,2970,1039
1135,27.07.2023,2988,1039
1136,28.07.2023,3009,1034
1137,31.07.2023,3074,1057
1138,01.08.2023,3094,1056
1139,02.08.2023,3106,1040
1140,03.08.2023,3148,1047
1141,04.08.2023,3092,1016
1142,07.08.2023,3084,1017
1143,08.08.2023,3085,1000
1144,09.08.2023,3100,1005
1145,10.08.2023,3149,1018
1146,11.08.2023,3156,1001
1147,14.08.2023,3131,1009
1148,15.08.2023,3115,1010
1149,16.08.2023,3049,1015
1150,17.08.2023,3059,1029
1151,18.08.2023,3111,1047
1152,21.08.2023,3140,1057
1153,22.08.2023,3164,1058
1154,23.08.2023,3146,1051
1155,24.08.2023,3137,1044
1156,25.08.2023,3157,1044
1157,28.08.2023,3199,1058
1158,29.08.2023,3211,1060
1159,30.08.2023,3213,1052
1160,31.08.2023,3228,1059
1161,01.09.2023,3231,1055
1162,04.09.2023,3269,1063
1163,05.09.2023,3264,1051
1164,06.09.2023,3245,1039
1165,07.09.2023,3169,1014
1166,08.09.2023,3143,1012
1167,11.09.2023,3122,1034
1168,12.09.2023,3166,1050
1169,13.09.2023,3148,1031
1170,14.09.2023,3139,1018
1171,15.09.2023,3153,1029
1172,18.09.2023,3135,1025
1173,19.09.2023,3084,1003
1174,20.09.2023,3068,1003
1175,21.09.2023,3019,988
1176,22.09.2023,3049,1000
1177,25.09.2023,3045,997
1178,26.09.2023,3052,998
1179,27.09.2023,3068,999
1180,28.09.2023,3108,1011
1181,29.09.2023,3133,1008
1182,02.10.2023,3132,992
1183,03.10.2023,3144,994
1184,04.10.2023,3134,991
1185,05.10.2023,3132,983
1186,06.10.2023,3145,987
1187,09.10.2023,3174,1007
1188,10.10.2023,3177,997
1189,11.10.2023,3194,1005
1190,12.10.2023,3175,1026
1191,13.10.2023,3192,1034
1192,16.10.2023,3235,1047
1193,17.10.2023,3247,1047
1194,18.10.2023,3249,1051
1195,19.10.2023,3255,1057
1196,20.10.2023,3269,1081
1197,23.10.2023,3264,1091
1198,24.10.2023,3265,1102
1199,25.10.2023,3265,1104
1200,26.10.2023,3224,1085
1201,27.10.2023,3224,1079
1202,30.10.2023,3227,1094
